Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
DWT,2020-03-19,1893,VelocityShares 3x Inverse Crude Oil ETNs linked to the S&P GSCI Crude Oil Index ER New,Financial,Exchange Traded Fund,USA,-,-,10.15,-63.76%,17100252
DWUS,2020-03-19,1894,AdvisorShares DWA FSM US Core ETF,Financial,Exchange Traded Fund,USA,-,-,20.06,2.45%,500
DWX,2020-03-19,1895,SPDR S&P International Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,26.96,-0.70%,248509
DX,2020-03-19,1896,"Dynex Capital, Inc.",Financial,Mortgage Investment,USA,268.04M,-,11.08,14.46%,1018069
DXC,2020-03-19,1897,DXC Technology Company,Technology,Information Technology Services,USA,2.89B,-,12.47,33.94%,7686380
DXCM,2020-03-19,1898,"DexCom, Inc.",Healthcare,Medical Laboratories & Research,USA,17.85B,176.51,206.24,7.89%,1413028
DXD,2020-03-19,1899,ProShares UltraShort Dow30,Financial,Exchange Traded Fund,USA,-,-,37.3,-0.80%,2481436
DXF,2020-03-19,1900,Dunxin Financial Holdings Limited,Financial,Credit Services,China,13.75M,4.19,0.67,0.01%,20153
DXGE,2020-03-19,1901,WisdomTree Germany Hedged Equity Fund,Financial,Exchange Traded Fund,USA,-,-,20.01,5.32%,10594
DXJ,2020-03-19,1902,WisdomTree Japan Hedged Equity Fund,Financial,Exchange Traded Fund,USA,-,-,39.67,4.50%,1082567
DXJS,2020-03-19,1903,WisdomTree Japan Hedged SmallCap Equity Fund,Financial,Exchange Traded Fund,USA,-,-,31.45,7.03%,15195
DXLG,2020-03-19,1904,"Destination XL Group, Inc.",Services,Apparel Stores,USA,11.50M,-,0.24,4.39%,378162
DXPE,2020-03-19,1905,"DXP Enterprises, Inc.",Services,Industrial Equipment Wholesale,USA,246.63M,5.74,12.1,8.13%,159279
DXR,2020-03-19,1906,Daxor Corporation,Healthcare,Medical Instruments & Supplies,USA,33.38M,-,10.65,5.92%,30272
DXYN,2020-03-19,1907,"The Dixie Group, Inc.",Industrial Goods,Textile Industrial,USA,19.64M,-,0.95,-2.76%,11807
DY,2020-03-19,1908,"Dycom Industries, Inc.",Industrial Goods,Heavy Construction,USA,486.45M,7.52,15.0,11.19%,1175654
DYLS,2020-03-19,1909,WisdomTree Dynamic Long/Short U.S. Equity Fund,Financial,Exchange Traded Fund,USA,-,-,20.65,1.24%,22797
DYNF,2020-03-19,1910,BlackRock U.S. Equity Factor Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,21.23,0.02%,33259
DYNT,2020-03-19,1911,Dynatronics Corporation,Healthcare,Medical Appliances & Equipment,USA,11.51M,-,1.03,0.98%,1454599
DZK,2020-03-19,1912,Direxion Daily MSCI Developed Markets Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,19.6,6.90%,8056
DZSI,2020-03-19,1913,"DASAN Zhone Solutions, Inc.",Technology,Communication Equipment,USA,113.93M,-,4.36,-3.75%,53639
DZZ,2020-03-19,1914,DB Gold Double Short ETN,Financial,Exchange Traded Fund,USA,-,-,4.5,2.68%,50117
E,2020-03-19,1915,Eni S.p.A.,Basic Materials,Major Integrated Oil & Gas,Italy,32.00B,163.64,15.06,4.58%,1282828
EA,2020-03-19,1916,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,USA,28.32B,9.49,90.06,-0.17%,6530106
EAD,2020-03-19,1917,Wells Fargo Advantage Funds - Wells Fargo Income Opportunities Fund,Financial,Asset Management,USA,306.80M,6.53,5.31,5.57%,943156
EAF,2020-03-19,1918,GrafTech International Ltd.,Industrial Goods,Diversified Machinery,USA,2.54B,3.31,8.21,-3.64%,2314560
EAGG,2020-03-19,1919,iShares ESG U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,52.36,-0.85%,72823
EAI,2020-03-19,1920,"Entergy Arkansas, Inc. 1M BD 4.875%66",Financial,Exchange Traded Fund,USA,-,-,20.45,-1.23%,67526
EARN,2020-03-19,1921,Ellington Residential Mortgage REIT,Financial,Mortgage Investment,USA,62.31M,2.28,5.04,23.83%,192515
EARS,2020-03-19,1922,Auris Medical Holding Ltd.,Healthcare,Biotechnology,Bermuda,2.86M,-,0.78,9.86%,67100
EASG,2020-03-19,1923,Xtrackers MSCI EAFE ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA,-,-,19.23,4.33%,4263
EASI,2020-03-19,1924,Amplify EASI Tactical Growth ETF,Financial,Exchange Traded Fund,USA,-,-,18.76,-0.91%,702
EAST,2020-03-19,1925,"Eastside Distilling, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,16.76M,-,1.25,-16.67%,125734
EAT,2020-03-19,1926,"Brinker International, Inc.",Services,Restaurants,USA,356.84M,2.09,10.99,44.23%,4788336
EB,2020-03-19,1927,"Eventbrite, Inc.",Technology,Application Software,USA,751.59M,-,7.83,11.86%,1210136
EBAY,2020-03-19,1928,eBay Inc.,Services,"Specialty Retail, Other",USA,26.28B,14.95,29.6,-5.43%,19317917
EBAYL,2020-03-19,1929,eBay Inc. NT 56,Services,"Specialty Retail, Other",USA,23.91B,-,23.5,5.38%,212619
EBF,2020-03-19,1930,"Ennis, Inc.",Consumer Goods,Office Supplies,USA,418.65M,9.77,15.82,11.17%,236048
EBIX,2020-03-19,1931,"Ebix, Inc.",Technology,Business Software & Services,USA,318.14M,2.79,13.99,58.62%,2471799
EBIZ,2020-03-19,1932,Global X E-commerce ETF,Financial,Exchange Traded Fund,USA,-,-,13.67,3.19%,4674
EBMT,2020-03-19,1933,"Eagle Bancorp Montana, Inc.",Financial,Regional - Pacific Banks,USA,84.16M,7.22,12.55,2.45%,32655
